competency_level_id,competency_id,level_no,level_name,level_description,source_id,provenance,source_type,created_at,updated_at
COMP-010-L4,COMP-010,4,Advanced,Evaluate complex cases and design stronger approaches in Price Statistics. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-010-L5,COMP-010,5,Expert / Strategic,Lead or guide advanced work and set strategic direction in Price Statistics. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-011-L1,COMP-011,1,Awareness,Explain the fundamental concepts of Statistical Computing. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-011-L2,COMP-011,2,Basic Application,Apply standard methods with guidance in Statistical Computing. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-011-L3,COMP-011,3,Independent Application,Perform routine work independently in Statistical Computing. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-011-L4,COMP-011,4,Advanced,Evaluate complex cases and design stronger approaches in Statistical Computing. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-011-L5,COMP-011,5,Expert / Strategic,Lead or guide advanced work and set strategic direction in Statistical Computing. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-012-L1,COMP-012,1,Awareness,Explain the fundamental concepts of National Accounts. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-012-L2,COMP-012,2,Basic Application,Apply standard methods with guidance in National Accounts. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-012-L3,COMP-012,3,Independent Application,Perform routine work independently in National Accounts. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-012-L4,COMP-012,4,Advanced,Evaluate complex cases and design stronger approaches in National Accounts. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-012-L5,COMP-012,5,Expert / Strategic,Lead or guide advanced work and set strategic direction in National Accounts. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-013-L1,COMP-013,1,Awareness,Explain the fundamental concepts of Statistical Data Management. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-013-L2,COMP-013,2,Basic Application,Apply standard methods with guidance in Statistical Data Management. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-013-L3,COMP-013,3,Independent Application,Perform routine work independently in Statistical Data Management. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-013-L4,COMP-013,4,Advanced,Evaluate complex cases and design stronger approaches in Statistical Data Management. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-013-L5,COMP-013,5,Expert / Strategic,Lead or guide advanced work and set strategic direction in Statistical Data Management. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-014-L1,COMP-014,1,Awareness,Explain the fundamental concepts of Data Privacy and Disclosure Control. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-014-L2,COMP-014,2,Basic Application,Apply standard methods with guidance in Data Privacy and Disclosure Control. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-014-L3,COMP-014,3,Independent Application,Perform routine work independently in Data Privacy and Disclosure Control. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-014-L4,COMP-014,4,Advanced,Evaluate complex cases and design stronger approaches in Data Privacy and Disclosure Control. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-014-L5,COMP-014,5,Expert / Strategic,Lead or guide advanced work and set strategic direction in Data Privacy and Disclosure Control. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-015-L1,COMP-015,1,Awareness,Explain the fundamental concepts of Metadata and Dissemination. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-015-L2,COMP-015,2,Basic Application,Apply standard methods with guidance in Metadata and Dissemination. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-015-L3,COMP-015,3,Independent Application,Perform routine work independently in Metadata and Dissemination. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-015-L4,COMP-015,4,Advanced,Evaluate complex cases and design stronger approaches in Metadata and Dissemination. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-015-L5,COMP-015,5,Expert / Strategic,Lead or guide advanced work and set strategic direction in Metadata and Dissemination. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-016-L1,COMP-016,1,Awareness,Explain the fundamental concepts of Leadership. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-016-L2,COMP-016,2,Basic Application,Apply standard methods with guidance in Leadership. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-016-L3,COMP-016,3,Independent Application,Perform routine work independently in Leadership. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-016-L4,COMP-016,4,Advanced,Evaluate complex cases and design stronger approaches in Leadership. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-016-L5,COMP-016,5,Expert / Strategic,Lead or guide advanced work and set strategic direction in Leadership. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-017-L1,COMP-017,1,Awareness,Explain the fundamental concepts of Collaboration. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-017-L2,COMP-017,2,Basic Application,Apply standard methods with guidance in Collaboration. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-017-L3,COMP-017,3,Independent Application,Perform routine work independently in Collaboration. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-017-L4,COMP-017,4,Advanced,Evaluate complex cases and design stronger approaches in Collaboration. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-017-L5,COMP-017,5,Expert / Strategic,Lead or guide advanced work and set strategic direction in Collaboration. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-018-L1,COMP-018,1,Awareness,Explain the fundamental concepts of Strategic Thinking. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-018-L2,COMP-018,2,Basic Application,Apply standard methods with guidance in Strategic Thinking. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-018-L3,COMP-018,3,Independent Application,Perform routine work independently in Strategic Thinking. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-018-L4,COMP-018,4,Advanced,Evaluate complex cases and design stronger approaches in Strategic Thinking. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-018-L5,COMP-018,5,Expert / Strategic,Lead or guide advanced work and set strategic direction in Strategic Thinking. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-019-L1,COMP-019,1,Awareness,"Explain employed, unemployed and outside-labour-force categories and reference periods. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-019-L2,COMP-019,2,Basic Application,"Classify fictional cases using a supplied labour-force decision tree. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-019-L3,COMP-019,3,Independent Application,"Calculate weighted labour-force participation, worker-population and unemployment rates with documented denominators. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-019-L4,COMP-019,4,Advanced,"Review classification, seasonality and comparability across labour-force releases. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-019-L5,COMP-019,5,Expert / Strategic,"Govern a reviewed labour-statistics measurement and revision programme. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-020-L1,COMP-020,1,Awareness,"Explain crop area, yield, production and reference seasons. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-020-L2,COMP-020,2,Basic Application,"Calculate production from supplied area and yield observations with unit checks. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-020-L3,COMP-020,3,Independent Application,"Compile and reconcile weighted crop estimates with uncertainty notes. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-020-L4,COMP-020,4,Advanced,"Evaluate crop-cutting and administrative-source discrepancies and justify adjustments. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-020-L5,COMP-020,5,Expert / Strategic,"Govern an agricultural-statistics quality and revision framework. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-021-L1,COMP-021,1,Awareness,"Distinguish goals, targets, indicators and policy thresholds. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-021-L2,COMP-021,2,Basic Application,"Calculate a supplied indicator using its defined numerator, denominator and unit. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-021-L3,COMP-021,3,Independent Application,"Produce a disaggregated indicator table with source, reference period and comparability notes. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-021-L4,COMP-021,4,Advanced,"Audit missingness, disaggregation and cross-source comparability in an indicator series. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-021-L5,COMP-021,5,Expert / Strategic,"Govern indicator revisions and cross-agency statistical reporting. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-022-L1,COMP-022,1,Awareness,"Explain relevance, accuracy, timeliness, coherence, comparability and accessibility. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-022-L2,COMP-022,2,Basic Application,"Apply supplied validation rules to a fictional dataset. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-022-L3,COMP-022,3,Independent Application,"Prepare a reproducible quality report with checks, exceptions and corrective actions. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-022-L4,COMP-022,4,Advanced,"Design proportionate quality gates and assess quality trade-offs across statistical processes. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-022-L5,COMP-022,5,Expert / Strategic,"Govern organization-wide quality assurance and independently review effectiveness. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-023-L1,COMP-023,1,Awareness,"Explain survey objectives, target populations, measurement and response burden. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-023-L2,COMP-023,2,Basic Application,"Draft questions and routing from a supplied specification and test simple paths. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-023-L3,COMP-023,3,Independent Application,"Design and pilot a questionnaire and document measurement and nonresponse risks. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-023-L4,COMP-023,4,Advanced,"Evaluate questionnaire validity, mode effects and pilot evidence to revise a design. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-023-L5,COMP-023,5,Expert / Strategic,"Lead review and harmonization of survey-design standards across programmes. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-024-L1,COMP-024,1,Awareness,"Explain concepts, dimensions and code lists and the different purposes of DDI and SDMX. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-024-L2,COMP-024,2,Basic Application,"Populate a supplied metadata template and validate allowed codes. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-024-L3,COMP-024,3,Independent Application,"Produce and validate a versioned statistical metadata package and crosswalk. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-024-L4,COMP-024,4,Advanced,"Resolve semantic and versioning conflicts across exchanged statistical datasets. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-024-L5,COMP-024,5,Expert / Strategic,"Govern metadata standards, stewardship and change control. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-025-L1,COMP-025,1,Awareness,"Read simple Python expressions, data types and tabular processing steps. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
