activity_id,competency_id,required_level,priority,rationale,source_id,provenance,source_type,created_at,updated_at
ACT-015,COMP-022,3,2,Compile labour-market indicators: demonstrate Data Quality Frameworks at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-016,COMP-024,3,2,Publish comparable labour tables: demonstrate Metadata Standards at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-016,COMP-005,3,2,Publish comparable labour tables: demonstrate Communication at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-017,COMP-020,4,3,Reconcile crop area and yield: demonstrate Agricultural Statistics at project level 4.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-017,COMP-004,3,2,Reconcile crop area and yield: demonstrate Survey Data Collection at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-017,COMP-022,3,2,Reconcile crop area and yield: demonstrate Data Quality Frameworks at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-018,COMP-023,3,2,Review agricultural survey designs: demonstrate Survey Design at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-018,COMP-SAMPLING,3,2,Review agricultural survey designs: demonstrate Sampling Methodology at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-019,COMP-020,4,3,Prepare seasonal crop summaries: demonstrate Agricultural Statistics at project level 4.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-019,COMP-028,3,2,Prepare seasonal crop summaries: demonstrate Data Visualization at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-019,COMP-005,3,2,Prepare seasonal crop summaries: demonstrate Communication at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-020,COMP-021,4,3,Compile disaggregated SDG indicators: demonstrate SDG Indicators at project level 4.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-020,COMP-009,3,2,Compile disaggregated SDG indicators: demonstrate Statistical Analysis at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-021,COMP-022,4,3,Audit statistical quality dimensions: demonstrate Data Quality Frameworks at project level 4.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-021,COMP-013,3,2,Audit statistical quality dimensions: demonstrate Statistical Data Management at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-022,COMP-024,4,3,Validate indicator metadata: demonstrate Metadata Standards at project level 4.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-022,COMP-015,3,2,Validate indicator metadata: demonstrate Metadata and Dissemination at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-022,COMP-028,3,2,Validate indicator metadata: demonstrate Data Visualization at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-023,COMP-025,4,3,Build tested statistical transformations: demonstrate Python at project level 4.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-023,COMP-026,3,2,Build tested statistical transformations: demonstrate R at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-023,COMP-027,4,3,Build tested statistical transformations: demonstrate SQL at project level 4.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-023,COMP-011,4,3,Build tested statistical transformations: demonstrate Statistical Computing at project level 4.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-024,COMP-029,3,2,Evaluate predictive analysis without leakage: demonstrate AI/ML at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-024,COMP-009,3,2,Evaluate predictive analysis without leakage: demonstrate Statistical Analysis at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-024,COMP-014,3,2,Evaluate predictive analysis without leakage: demonstrate Data Privacy and Disclosure Control at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-025,COMP-028,4,3,Communicate reproducible analytical results: demonstrate Data Visualization at project level 4.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-025,COMP-005,3,2,Communicate reproducible analytical results: demonstrate Communication at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-026,COMP-023,4,3,Design and pilot questionnaires: demonstrate Survey Design at project level 4.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-026,COMP-SAMPLING,4,3,Design and pilot questionnaires: demonstrate Sampling Methodology at project level 4.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-026,COMP-004,3,2,Design and pilot questionnaires: demonstrate Survey Data Collection at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-027,COMP-006,3,2,Review coverage and frame maintenance: demonstrate Sampling Frames and UFS at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-027,COMP-022,3,2,Review coverage and frame maintenance: demonstrate Data Quality Frameworks at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-028,COMP-024,4,3,Validate metadata exchange packages: demonstrate Metadata Standards at project level 4.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-028,COMP-015,3,2,Validate metadata exchange packages: demonstrate Metadata and Dissemination at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-028,COMP-011,3,2,Validate metadata exchange packages: demonstrate Statistical Computing at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-029,COMP-030,4,3,Design controlled cloud workloads: demonstrate Cloud Computing at project level 4.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-029,COMP-032,3,2,Design controlled cloud workloads: demonstrate Cybersecurity at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-029,COMP-013,3,2,Design controlled cloud workloads: demonstrate Statistical Data Management at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-030,COMP-031,4,3,Implement versioned statistical API contracts: demonstrate APIs at project level 4.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-030,COMP-027,3,2,Implement versioned statistical API contracts: demonstrate SQL at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-031,COMP-030,4,3,Review platform reproducibility and recovery: demonstrate Cloud Computing at project level 4.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-031,COMP-025,3,2,Review platform reproducibility and recovery: demonstrate Python at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-031,COMP-024,3,2,Review platform reproducibility and recovery: demonstrate Metadata Standards at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-032,COMP-032,3,2,Review identity and access controls: demonstrate Cybersecurity at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-032,COMP-014,3,2,Review identity and access controls: demonstrate Data Privacy and Disclosure Control at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-033,COMP-032,3,2,Exercise incident response and secure exchange: demonstrate Cybersecurity at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-033,COMP-031,3,2,Exercise incident response and secure exchange: demonstrate APIs at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-034,COMP-030,3,2,Audit cloud service security: demonstrate Cloud Computing at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-034,COMP-013,3,2,Audit cloud service security: demonstrate Statistical Data Management at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-034,COMP-005,3,2,Audit cloud service security: demonstrate Communication at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
